标签名,标签ID,描述,单位,类型
N2DCS.20CBQ02EH105,11364,#3机保安段备自投装置故障报警,,digital
N2DCS.20CBQ02EH106,11365,#3机保安段备自投装置已闭锁,,digital
N2DCS.20CBQ02EH107,11366,#3机保安段备自投装置失电告警,,digital
N2DCS.20MJA01EH001,11367,#3机柴油发电机水温故障,,digital
N2DCS.20MJA01EH002,11368,#3机柴油发电机低油压故障,,digital
N2DCS.20MJA01EH003,11369,#3机柴油发电机超速故障,,digital
N2DCS.20MJA01EH004,11370,#3机柴油发电机三次启动失败,,digital
N2DCS.20MJA01EH005,11371,#3机柴油发电机运行正常,,digital
N2DCS.20MJA01EH006,11372,#3机柴油发电机系统处于自动,,digital
N2DCS.20MJA01EH007,11373,#3机柴油发电机蓄电池电压低报警,,digital
N2DCS.20MJA01EH008,11374,#3机柴油发电机公共预报警,,digital
N2DCS.20MJA01EH009,11375,#3机柴油发电机公共报警,,digital
N2DCS.20MJA01EH010,11376,#3机柴油发电机差动保护,,digital
N2DCS.20MJA01EH011,11377,#3机柴油发电机DC 24V电源丢失,,digital
N2DCS.20MJA01EH012,11378,#3机柴油发电机DC 110V电源丢失,,digital
N2DCS.20MJA01GS001RP,11379,#3机柴油发电机K0开关合闸状态,,digital
N2DCS.20MJA01GS001TP,11380,#3机柴油发电机K0开关分闸状态,,digital
N2DCS.21BAC01GS101RP,11381,#4发电机出口GCB开关合闸位置,,digital
N2DCS.21BAC01GS101TP,11382,#4发电机出口GCB开关分闸位置,,digital
N2DCS.21BAC01GS201RP,11383,#4发电机出口隔离开关8020合位置,,digital
N2DCS.21BAC01GS201TP,11384,#4发电机出口隔离开关8020分位置,,digital
N2DCS.21BAC01GS202RP,11385,#4发电机SFC启动开关8021合位置,,digital
N2DCS.21BAC01GS202TP,11386,#4发电机SFC启动开关8021分位置,,digital
N2DCS.21BAC01GS301RP,11387,#4发电机出口接地开关GS301合位,,digital
N2DCS.21BAC01GS301TP,11388,#4发电机出口接地开关82000分位,,digital
N2DCS.21BAC01GS302RP,11389,#4发电机出口接地开关GS303合位,,digital
N2DCS.21BAC01GS302TP,11390,#4发电机出口接地开关GS303分位,,digital
N2DCS.21BAT01EH001,11391,#4主变冷却器Ⅰ段电源运行,,digital
N2DCS.21BAT01EH002,11392,#4主变冷却器II段电源运行,,digital
N2DCS.21BAT01EH003,11393,#4主变冷却器Ⅰ段电源故障,,digital
N2DCS.21BAT01EH004,11394,#4主变冷却器II段电源故障,,digital
N2DCS.21BAT01EH005,11395,#4主变冷却器控制电源故障,,digital
N2DCS.21BAT01EH006,11396,#4主变工作冷却器故障,,digital
N2DCS.21BAT01EH007,11397,#4主变备用冷却器故障,,digital
N2DCS.21BAT01EH008,11398,#4主变风冷全停,,digital
N2DCS.21BAT01EH009,11399,#4主变辅助投入,,digital
N2DCS.21BAW10GS201RP,11400,#4发电机中性点地刀82000合闸位,,digital
N2DCS.21BAW10GS201TP,11401,#4发电机中性点地刀82000分闸位,,digital
N2DCS.21BAW20EH101,11402,#3发电机PT端子箱开关分闸信号,,digital
N2DCS.21CEQ01EH001,11403,#4发变组故障录波装置故障,,digital
N2DCS.21CEQ01EH002,11404,#4发变组故障录波装置启动,,digital
N2DCS.21CEQ01EH003,11405,#4发变组故障录波装置失电报警,,digital
N2DCS.21CHA01EH101,11406,#4发电机A套差动跳闸,,digital
N2DCS.21CHA01EH102,11407,#4发电机A套定子接地跳闸,,digital
N2DCS.21CHA01EH103,11408,#4发电机A套匝间跳闸,,digital
N2DCS.21CHA01EH104,11409,#4发电机A套过负荷跳闸,,digital
N2DCS.21CHA01EH105,11410,#4发电机A套电压异常保护跳闸,,digital
N2DCS.21CHA01EH106,11411,#4发电机A套失磁保护跳闸,,digital
N2DCS.21CHA01EH107,11412,#4发电机A套失步保护跳闸,,digital
N2DCS.21CHA01EH108,11413,#4发电机A套负序过负荷跳闸,,digital
N2DCS.21CHA01EH109,11414,#4发电机A套过励磁跳闸,,digital
N2DCS.21CHA01EH110,11415,#4发电机A套过频保护跳闸,,digital
N2DCS.21CHA01EH111,11416,#4发电机A套相间后备跳闸,,digital
N2DCS.21CHA01EH112,11417,#4发电机A套误上电跳闸,,digital
N2DCS.21CHA01EH113,11418,#4发电机A套逆功率跳闸,,digital
N2DCS.21CHA01EH114,11419,#4发电机A套低功率跳闸,,digital
N2DCS.21CHA01EH115,11420,#4发电机A套启停机跳闸,,digital
N2DCS.21CHA01EH116,11421,#4发电机A套GCB失灵保护跳闸,,digital
N2DCS.21CHA01EH117,11422,#4发电机A套低频保护跳闸,,digital
N2DCS.21CHA01EH118,11423,#4发电机A套励磁后备保护跳闸,,digital
N2DCS.21CHA01EH119,11424,#4发电机A套逆功率报警,,digital
N2DCS.21CHA01EH120,11425,#4发电机A套过励磁报警,,digital
N2DCS.21CHA01EH121,11426,#4发电机A套定子过负荷报警,,digital
N2DCS.21CHA01EH122,11427,#4发电机A套负序过负荷报警,,digital
N2DCS.21CHA01EH123,11428,#4发电机A套励磁过负荷报警,,digital
N2DCS.21CHA01EH124,11429,#4发电机A套定子接地报警,,digital
N2DCS.21CHA01EH125,11430,#4发电机A套失磁报警,,digital
N2DCS.21CHA01EH126,11431,#4发电机A套失步报警,,digital
N2DCS.21CHA01EH127,11432,#4发电机A套频率保护报警,,digital
N2DCS.21CHA01EH128,11433,#4发电机A套保护TA回路断线,,digital
N2DCS.21CHA01EH129,11434,#4发电机A套保护TV回路断线,,digital
N2DCS.21CHA01EH130,11435,#4发电机A套保护装置闭锁,,digital
N2DCS.21CHA01EH131,11436,#4发电机A套保护装置报警,,digital
N2DCS.21CHA01EH132,11437,#4发电机A套SFC系统故障联跳,,digital
N2DCS.21CHA02EH101,11438,#4发电机B套差动跳闸,,digital
N2DCS.21CHA02EH102,11439,#4发电机B套匝间保护跳闸,,digital
N2DCS.21CHA02EH103,11440,#4发电机B套起停机接地保护跳闸,,digital
N2DCS.21CHA02EH104,11441,#4发电机B套对称过负荷保护跳闸,,digital
N2DCS.21CHA02EH105,11442,#4发电机B套负荷过负荷保护跳闸,,digital
N2DCS.21CHA02EH106,11443,#4发电机B套失磁保护跳闸,,digital
N2DCS.21CHA02EH107,11444,#4发电机B套失步保护跳闸,,digital
N2DCS.21CHA02EH108,11445,#4发电机B套电压异常跳闸,,digital
N2DCS.21CHA02EH109,11446,#4发电机B套过励磁保护跳闸,,digital
N2DCS.21CHA02EH110,11447,#4发电机B套逆功率保护跳闸,,digital
N2DCS.21CHA02EH111,11448,#4机B套机端开关失灵启动动作,,digital
N2DCS.21CHA02EH112,11449,#4机B套发电机相间后备保护跳,,digital
N2DCS.21CHA02EH113,11450,#4机B套发电机频率异常保护跳,,digital
N2DCS.21CHA02EH114,11451,#4发电机B套误上电保护跳闸,,digital
N2DCS.21CHA02EH115,11452,#4发电机B套励磁变保护跳闸,,digital
N2DCS.21CHA02EH116,11453,#4机B套燃机控制系统保护联跳,,digital
N2DCS.21CHA02EH117,11454,#4发电机B套差流越限告警,,digital
N2DCS.21CHA02EH118,11455,#4发电机B套定时限过负荷告警,,digital
N2DCS.21CHA02EH119,11456,#4机B套三次谐波定子接地告警,,digital
N2DCS.21CHA02EH120,11457,#4发电机B套TA异常告警,,digital
N2DCS.21CHA02EH121,11458,#4发电机B套TV异常告警,,digital
N2DCS.21CHA02EH122,11459,#4发电机B套装置故障告警,,digital
N2DCS.21CHA02EH123,11460,#4发电机B套失电告警,,digital
N2DCS.21CHA02EH124,11461,#4发电机B套SFC系统故障联跳,,digital
N2DCS.21CHA03EH101,11462,#4主变A套差动跳闸,,digital
N2DCS.21CHA03EH102,11463,#4主变A套相间后备跳闸,,digital
N2DCS.21CHA03EH103,11464,#4主变A套接地零序跳闸,,digital
N2DCS.21CHA03EH104,11465,#4主变A套间隙零序跳闸,,digital
N2DCS.21CHA03EH105,11466,#4主变A套过励磁保护跳闸,,digital
N2DCS.21CHA03EH106,11467,#4主变A套开关断口闪络保护跳,,digital
N2DCS.21CHA03EH107,11468,#4主变A套非全相跳闸,,digital
N2DCS.21CHA03EH108,11469,#2高厂变A套差动跳闸,,digital
N2DCS.21CHA03EH109,11470,#2高厂变A套高压侧后备跳闸,,digital
N2DCS.21CHA03EH110,11471,#2高厂变A套A分支后备跳闸,,digital
N2DCS.21CHA03EH111,11472,#2高厂变A套A分支接地后备跳闸,,digital
N2DCS.21CHA03EH112,11473,#2高厂变A套B分支后备跳闸,,digital
N2DCS.21CHA03EH113,11474,#2高厂变A套B分支接地后备跳闸,,digital
N2DCS.21CHA03EH114,11475,#4主变A套保护装置闭锁,,digital
N2DCS.21CHA03EH115,11476,#4主变A套保护装置报警,,digital
N2DCS.21CHA03EH116,11477,#4主变A套保护TA断线,,digital
N2DCS.21CHA03EH117,11478,#4主变A套保护TV断线,,digital
N2DCS.21CHA03EH118,11479,#4主变A套保护失灵启动报警,,digital
N2DCS.21CHA03EH119,11480,#4主变A套过激磁报警,,digital
N2DCS.21CHA03EH120,11481,#4主变A套过负荷报警,,digital
N2DCS.21CHA03EH121,11482,#2高厂变A套过负荷报警,,digital
N2DCS.21CHA03EH122,11483,#4主变A套低压侧零序电压报警,,digital
N2DCS.21CHA03EH123,11484,#4主变A套保护切换继电器动作,,digital
N2DCS.21CHA03EH124,11485,#4主变A套保护切换继电器失电,,digital
N2DCS.21CHA04EH101,11486,#4主变B套差动跳闸,,digital
N2DCS.21CHA04EH102,11487,#4主变B套相间后备跳闸,,digital
N2DCS.21CHA04EH103,11488,#4主变B套接地后备跳闸,,digital
N2DCS.21CHA04EH104,11489,#4主变B套间隙后备跳闸,,digital
N2DCS.21CHA04EH105,11490,#4主变B套高压侧失灵启动动,,digital
N2DCS.21CHA04EH106,11491,#4主变B套高压侧非全相动作,,digital
N2DCS.21CHA04EH107,11492,#4主变B套高压侧断口闪络动,,digital
N2DCS.21CHA04EH108,11493,#4主变B套过励磁动作,,digital
N2DCS.21CHA04EH109,11494,#2高厂变B套主保护动作,,digital
N2DCS.21CHA04EH110,11495,#2高厂变B套后备保护动作,,digital
N2DCS.21CHA04EH111,11496,#2高厂变B套A分支后备动作,,digital
N2DCS.21CHA04EH112,11497,#2高厂变B套B分支后备动作,,digital
N2DCS.21CHA04EH113,11498,#2高厂变B套低压侧接地动作,,digital
N2DCS.21CHA04EH114,11499,#4机B套差流越限告警,,digital
N2DCS.21CHA04EH115,11500,#4机B套定时限过负荷报警,,digital
N2DCS.21CHA04EH116,11501,#4机B套启动主变通风告警,,digital
N2DCS.21CHA04EH117,11502,#4机B套启动厂变通风告警,,digital
N2DCS.21CHA04EH118,11503,#4机B套TA异常告警,,digital
N2DCS.21CHA04EH119,11504,#4机B套TV异常告警,,digital
N2DCS.21CHA04EH120,11505,#4主变B套低压侧接地告警,,digital
N2DCS.21CHA04EH121,11506,#4机B套装置故障告警,,digital
N2DCS.21CHA04EH122,11507,#4机B套失电告警,,digital
N2DCS.21CHA04EH123,11508,#4主变B套保护切换继电器动作,,digital
N2DCS.21CHA04EH124,11509,#4主变B套保护切换继电器失电,,digital
N2DCS.21CHA05EH101,11510,#4主变保护装置闭锁,,digital
N2DCS.21CHA05EH102,11511,#4主变保护装置报警,,digital
N2DCS.21CHA05EH103,11512,#4主变非电量电源监视,,digital
N2DCS.21CHA05EH104,11513,#4主变冷控失电延时跳闸,,digital
N2DCS.21CHA05EH105,11514,#4主变本体重瓦斯跳闸,,digital
N2DCS.21CHA05EH106,11515,#4主变绕组温度高跳闸,,digital
N2DCS.21CHA05EH107,11516,#4主变压力突变跳闸,,digital
N2DCS.21CHA05EH108,11517,#4主变油温高跳闸,,digital
N2DCS.21CHA05EH109,11518,#4机母差及失灵联跳,,digital
N2DCS.21CHA05EH110,11519,#4机安稳切机跳闸,,digital
N2DCS.21CHA05EH111,11520,#4机转子一点接地保护跳闸,,digital
N2DCS.21CHA05EH112,11521,#4主变本体轻瓦斯信号,,digital
N2DCS.21CHA05EH113,11522,#4主变绕组温度高信号,,digital
N2DCS.21CHA05EH114,11523,#4主变油位异常信号,,digital
N2DCS.21CHA05EH115,11524,#4主变压力释放信号,,digital
N2DCS.21CHA05EH128,11525,#4发变组非电量保护控制回路断线,,digital
N2DCS.21CHA05EH129,11526,#4发变组非电量保护控制回路断线,,digital
N2DCS.21CHA05EH130,11527,#4发变组非电量保护第一出口跳闸,,digital
N2DCS.21CHA05EH131,11528,#4发变组非电量保护第二出口跳闸,,digital
N2DCS.21CHA05EH132,11529,#4主变断路器位置不一致,,digital
N2DCS.21CHA05EH133,11530,#4机失步解列跳闸,,digital
N2DCS.20CBQ01EH213A,11531,6KV 2B段快切装置切换启允许,,digital
N2DCS.20AGCFVFRP,11532,@ Ovation Control Builder @,,digital
N2DCS.20RDIGI20007GT,11533,@ Ovation Control Builder @,,digital
N2DCS.22CBP01EJ_TQPMT,11534,,,digital
N2DCS.AGCOFFFVFRPOFF,11535,@ Ovation Control Builder @,,digital
N2DCS.APSAUTOMODE,11536,APS自动模式已投入,,digital
N2DCS.APSMODEOFF,11537,APS模式已退出,,digital
N2DCS.APSMODEON,11538,APS模式已投入,,digital
N2DCS.APSMODEPMT,11539,APS模式投入允许,,digital
N2DCS.APSSPBP1_BYPASS,11540,降负荷断点旁路,,digital
N2DCS.APSSPBP1_TIMINGPMT,11541,降负荷断点同步条件,,digital
N2DCS.APSSPBP1FINISH,11542,降负荷断点完成,,digital
N2DCS.APSSPBP1FINISH1,11543,降负荷断点完成1,,digital
N2DCS.APSSPBP1PMTACK,11544,APS停机相关系统检查卡确认,,digital
N2DCS.APSSPBP2_BYPASS,11545,#4机打闸断点旁路,,digital
N2DCS.APSSPBP2_TIMINGPMT,11546,#4机打闸断点同步条件,,digital
N2DCS.APSSPBP2FINISH,11547,#4机打闸断点完成,,digital
N2DCS.APSSPBP2FINISH1,11548,燃机打闸断点完成1,,digital
N2DCS.APSSPBP3_BYPASS,11549,#1余热锅炉停止断点旁路,,digital
N2DCS.APSSPBP3_TIMINGPMT,11550,#1余热锅炉停止断点同步条件,,digital
N2DCS.APSSPBP3FINISH,11551,#1余热锅炉停止断点完成,,digital
N2DCS.APSSPBP3FINISH1,11552,#1余热锅炉停止断点完成1,,digital
N2DCS.APSSPBP4_BYPASS,11553,#2机组停运断点旁路,,digital
N2DCS.APSSPBP4_TIMINGPMT,11554,#2机组停运断点同步条件,,digital
N2DCS.APSSPBP4FINISH,11555,#2机组停运断点完成,,digital
N2DCS.APSSPBP4FINISH1,11556,#2机组停运断点完成1,,digital
N2DCS.APSSPRUNNING,11557,APS停止进行中,,digital
N2DCS.APSSTARTMODE,11558,APS启机模式已投入,,digital
N2DCS.APSSTBP1_BYPASS,11559,系统准备断点旁路,,digital
N2DCS.APSSTBP1_TIMINGPMT,11560,系统准备断点同步条件,,digital
N2DCS.APSSTBP1FINISH,11561,系统准备断点完成,,digital
N2DCS.APSSTBP1FINISH1,11562,系统准备断点完成1,,digital
N2DCS.APSSTBP1PMTACK,11563,APS启机相关系统检查卡确认,,digital
N2DCS.APSSTBP2_BYPASS,11564,#2机组上水断点旁路,,digital
N2DCS.APSSTBP2_TIMINGPMT,11565,#2机组上水断点同步条件,,digital
N2DCS.APSSTBP2FINISH,11566,#2机组上水断点完成,,digital
N2DCS.APSSTBP2FINISH1,11567,#2机组上水断点完成1,,digital
N2DCS.APSSTBP3_BYPASS,11568,#4机启动断点旁路,,digital
N2DCS.APSSTBP3_TIMINGPMT,11569,#4机启动断点同步条件,,digital
N2DCS.APSSTBP3FINISH,11570,#4机点火断点完成,,digital
N2DCS.APSSTBP3FINISH1,11571,#4机点火断点完成1,,digital
N2DCS.APSSTBP4_BYPASS,11572,#3机并网断点旁路,,digital
N2DCS.APSSTBP4_TIMINGPMT,11573,#3机并网断点同步条件,,digital
N2DCS.APSSTBP4FINISH,11574,#3机并网断点已完成,,digital
N2DCS.APSSTBP4FINISH1,11575,#3机并网断点已完成,,digital
N2DCS.APSSTBP5_BYPASS,11576,升负荷断点旁路,,digital
N2DCS.APSSTBP5_TIMINGPMT,11577,升负荷断点同步条件,,digital
N2DCS.APSSTBP5FINISH,11578,升负荷断点已完成,,digital
N2DCS.APSSTOPMODE,11579,APS停机模式已投入,,digital
N2DCS.APSSTRUNNING,11580,APS启机进行中,,digital
N2DCS.BOTHCNDCPSTOP,11581,余热锅炉停止断点已完成,,digital
N2DCS.BOTHHPWFSTOP,11582,#3炉高压给水泵全停,,digital
N2DCS.BOTHIPWFSTOP,11583,#3炉中压给水泵全停,,digital
N2DCS.CCSMODE,11584,@ Ovation Control Builder @,,digital
N2DCS.CPRESSAIR_SEQSTOK,11585,,,digital
N2DCS.GTALR,11586,@ Ovation Control Builder @,,digital
N2DCS.GTBRONACKOK,11587,#4机并网状态确认,,digital
N2DCS.GTBRONDMD,11588,#4机并网指令,,digital
N2DCS.GTCBON,11589,#4机负荷>7MW,,digital
N2DCS.GTCCSOFF,11590,CCS已退出,,digital
N2DCS.GTCCSONDMD,11591,@ Ovation Control Builder @,,digital
N2DCS.GTCCSONDMDPMT,11592,@ Ovation Control Builder @,,digital
N2DCS.GTCCSPMT,11593,CCS投入允许条件1,,digital
N2DCS.GTLOADL155,11594,#4机负荷<155MW,,digital
N2DCS.GTREADY_SEQSTOK,11595,@ Ovation Control Builder @,,digital
N2DCS.GTREADYCTL,11596,,,digital
N2DCS.GTRUN,11597,#4机在运行,,digital
N2DCS.GTSTACKOK,11598,手动确认#4机可以启动,,digital
N2DCS.HILBPVAUTO,11599,高中低压旁路调阀均在自动模式,,digital
N2DCS.NOTCCSMODE,11600,@ Ovation Control Builder @,,digital
N2DCS.ONE12,11601,开关量1,,digital
N2DCS.REJECTION,11602,甩负荷,,digital
N2DCS.SEQ134101,11603,@ Ovation Control Builder @,,digital
N2DCS.SEQ134105,11604,@ Ovation Control Builder @,,digital
N2DCS.STMODESEL,11605,#3机启动模式已选(冷、温、热、?,,digital
N2DCS.TURBBRONACKOK,11606,手动确认#3机准备并网指令,,digital
N2DCS.TURBBRONDMD,11607,APS顺控#3机并网指令,,digital
N2DCS.TURBDRNVLVCLS,11608,疏水阀均在全关位,,digital
N2DCS.TURBDRNVLVOPN,11609,疏水阀均在全开位,,digital
N2DCS.TURBSTACKOK,11610,手动确认#3机准备启动指令,,digital
N2DCS.TURBSTACKPMT,11611,#3机启动允许,,digital
N2DCS.TURBSTACKPMT1,11612,#3机启动允许,,digital
N2DCS.TURBTRIP,11613,#3机已遮断信号,,digital
N2DCS.TURBTRIPACKOK,11614,#3机手动打闸指令,,digital
N2DCS.TURBWARMFINISH,11615,#3机暖机完成,,digital
N2DCS.UNIT_START,11616,机组启动（APS模式）,,digital
N2DCS.ZERO12,11617,开关量0,,digital
N2DCS.10DCSFA002,11618,@ Ovation Control Builder @,,digital
N2DCS.20DCSFA002,11619,#3机冲转并网断点第1步已完成,,digital
N2DCS.20DCSFA009,11620,@ Ovation Control Builder @,,digital
N2DCS.20DCSFA013,11621,#3炉停止断点已完成,,digital
N2DCS.20DCSFA014,11622,#3炉停止断点已完成,,digital
N2DCS.20DCSFA015,11623,#3炉停止断点已完成,,digital
N2DCS.20LBA10CPNORMAL,11624,@ Ovation Control Builder @,,digital
N2DCS.20LBA30CPNORMAL,11625,@ Ovation Control Builder @,,digital
N2DCS.20TCSDO03,11626,@ Ovation Control Builder @,,digital
N2DCS.20TCSDO04,11627,@ Ovation Control Builder @,,digital
N2DCS.20TCSDO06,11628,@ Ovation Control Builder @,,digital
N2DCS.20TCSDO08,11629,@ Ovation Control Builder @,,digital
N2DCS.20TCSDO09,11630,@ Ovation Control Builder @,,digital
N2DCS.22AVCAUTOOFF,11631,AVC在退出状态,,digital
N2DCS.APSMODEOFF_PLUSE,11632,APS模式已退出(脉冲),,digital
N2DCS.APSSPBP2FINISHNO,11633,@ Ovation Control Builder @,,digital
N2DCS.APSSTBP1FINISH1NO,11634,@ Ovation Control Builder @,,digital
N2DCS.APSSTBP3_SEQAUX1,11635,@ Ovation Control Builder @,,digital
N2DCS.APSSTBP4_SEQAUX1,11636,@ Ovation Control Builder @,,digital
N2DCS.APSSTBP4_SEQAUX2,11637,@ Ovation Control Builder @,,digital
N2DCS.APSSTBP5FINISH1,11638,升负荷断点已完成,,digital
N2DCS.BOTHCIRPMP_SEQSTOK,11639,#3机低压蒸汽压力控制模式,,digital
N2DCS.BOTHCNDPMPSTOP,11640,凝结水泵全停,,digital
N2DCS.CNDPMPSEQSTOPNO1,11641,@ Ovation Control Builder @,,digital
N2DCS.CNDWTRFILLACKOK,11642,凝泵密封及系统注水完成确认指令,,digital
N2DCS.CNSRCIRVLVOP,11643,凝汽器循环水出水电动门均已全开,,digital
N2DCS.COLDORWARMON,11644,汽机冷态/温态模式,,digital
N2DCS.D01P331_KBGB,11645,@ Ovation Control Builder @,,digital
N2DCS.D01P334,11646,@ Ovation Control Builder @,,digital
N2DCS.DCS_DEH_DO1,11647,#4机打闸断点第1步指令（至DEH,,digital
N2DCS.DCS_DEH_DO2,11648,#4机打闸断点第2步指令（至DEH,,digital
N2DCS.DCS_DEH_DO3,11649,#4机打闸断点第3步指令（至DEH,,digital
N2DCS.ELC_OKGB,11650,电气检查正常手动确认指令,,digital
N2DCS.GTBRONOK,11651,#4机已并网,,digital
N2DCS.GTH2SYSOK,11652,#4发电机氢气系统压力正常确认,,digital
N2DCS.GTLOAD15,11653,#4机负荷>15MW,,digital
N2DCS.GTOILSYSOK,11654,#4机滑油、密封油系统运行正常,,digital
N2DCS.GTSPEED3000,11655,#4机转速3000rpm,,digital
N2DCS.HILVLVHZERO,11656,@ Ovation Control Builder @,,digital
N2DCS.HRSGTRIPNONO,11657,@ Ovation Control Builder @,,digital
N2DCS.HXZSSYSOK,11658,化水制水系统正常确认指令,,digital
N2DCS.IPIN,11659,#3机中压蒸汽压力控制模式,,digital
N2DCS.JYPMPACK,11660,凝结水加压系统正常投运确认指令,,digital
N2DCS.LPCTLIN,11661,#3机低压蒸汽压力控制模式,,digital
N2DCS.MAINSTEAMPANDUAN,11662,高压主蒸汽温度>最佳主蒸汽温度,,digital
N2DCS.QJSKJX,11663,#3机启顺控进行中,,digital
N2DCS.SEQ135101,11664,@ Ovation Control Builder @,,digital
N2DCS.SEQ135102,11665,@ Ovation Control Builder @,,digital
N2DCS.SEQ135103,11666,@ Ovation Control Builder @,,digital
N2DCS.SEQ135104,11667,@ Ovation Control Builder @,,digital
N2DCS.STHIGORV2,11668,@ Ovation Control Builder @,,digital
N2DCS.STLOADLOW100,11669,#3机负荷<100MW,,digital
N2DCS.STLOADLOW5,11670,#3机负荷<5MW,,digital
N2DCS.STLOWORV2,11671,@ Ovation Control Builder @,,digital
N2DCS.STMONORV2,11672,@ Ovation Control Builder @,,digital
N2DCS.TBEHOILSYSOK,11673,#3机润滑油系统运行正常确认,,digital
N2DCS.TPIN,11674,#3机高压蒸汽压力控制模式,,digital
N2DCS.20CHA00EZ100_XK96,11675,汽机发电机跳闸,,digital
N2DCS.20CHA00EZ100_XV01,11676,@ Ovation Control Builder @,,digital
N2DCS.20CHA00EZ100A_XK01,11677,发电机保护停机 1#,,digital
N2DCS.20CHA00EZ100B_XK01,11678,发电机保护停机 2#,,digital
N2DCS.20CHA00EZ100C_XK01,11679,发电机保护停机 3#,,digital
N2DCS.20DROP41GW001_XM09,11680,机柜空开正常,,digital
N2DCS.20DROP41GW001_XM10,11681,机柜电源正常,,digital
N2DCS.20HYY01EY001_XK96,11682,@ Ovation Control Builder @,,digital
N2DCS.20HYY01EY001_XV01,11683,@ Ovation Control Builder @,,digital
N2DCS.20HYY01EY001A_XV10,11684,锅炉停机1,,digital
N2DCS.20HYY01EY001B_XV10,11685,锅炉停机2,,digital
N2DCS.20HYY01EY001C_XV10,11686,锅炉停机3,,digital
N2DCS.20LBA20EZ007_XV01,11687,@ Ovation Control Builder @,,digital
N2DCS.20LBB50EZ007_XV01,11688,@ Ovation Control Builder @,,digital
N2DCS.20LBC40FP101_XV01,11689,@ Ovation Control Builder @,,digital
N2DCS.20LBD20AA001_XG04,11690,高压抽汽快关调节阀控制电源故障,,digital
N2DCS.20LBD40AA001_XG04,11691,中压抽汽快关调节阀控制电源故障,,digital
N2DCS.20LBS45AA001_XB01,11692,@ Ovation Control Builder @,,digital
N2DCS.20LBS45AA001_XB02,11693,@ Ovation Control Builder @,,digital
N2DCS.20LBS45AA001_XG04,11694,中压抽汽快关调节阀控制电源故障,,digital
N2DCS.20LBS45AA001_XG05A,11695,中压抽汽快关调节阀油动机关闭电,,digital
N2DCS.20LBS45AA001_XG05B,11696,中压抽汽快关调节阀油动机关闭电,,digital
N2DCS.20LBS45AA013_ZB21,11697,中压抽汽快关调节阀油动机关闭电,,digital
N2DCS.20LBS46AA001_XB01,11698,@ Ovation Control Builder @,,digital
N2DCS.20LBS46AA001_XB02,11699,@ Ovation Control Builder @,,digital
N2DCS.20LBS46AA001_XG04,11700,高压抽汽快关调节阀控制电源故障,,digital
N2DCS.20LBS46AA001_XG05A,11701,高压抽汽快关调节阀油动机关闭电,,digital
N2DCS.20LBS46AA001_XG05B,11702,高压抽汽快关调节阀油动机关闭电,,digital
N2DCS.20LBS46AA013_ZB21,11703,高压抽汽快关调节阀油动机关闭电,,digital
N2DCS.20MAA11AA011,11704,主汽门开启电磁阀,,digital
N2DCS.20MAA11AA013_XB01,11705,@ Ovation Control Builder @,,digital
N2DCS.20MAA11AA013_XB02,11706,@ Ovation Control Builder @,,digital
N2DCS.20MAA11AA013_ZB21A,11707,主汽门油动机关闭电磁阀#1,,digital
N2DCS.20MAA11AA013_ZB21AP,11708,主汽门油动机关闭电磁阀#1监视（,,digital
N2DCS.20MAA11AA013_ZB21B,11709,主汽门油动机关闭电磁阀#1,,digital
N2DCS.20MAA11AA014_XB01,11710,@ Ovation Control Builder @,,digital
N2DCS.20MAA11AA014_XB02,11711,@ Ovation Control Builder @,,digital
N2DCS.20MAA11AA014_ZB21A,11712,主汽门油动机关闭电磁阀#2,,digital
N2DCS.20MAA11AA014_ZB21AP,11713,主汽门油动机关闭电磁阀#2监视（,,digital
N2DCS.20MAA11AA014_ZB21B,11714,主汽门油动机关闭电磁阀#2,,digital
N2DCS.20MAA12AA013_XB01,11715,@ Ovation Control Builder @,,digital
N2DCS.20MAA12AA013_XB02,11716,@ Ovation Control Builder @,,digital
N2DCS.20MAA12AA013_ZB21A,11717,高压调门油动机关闭电磁阀#1,,digital
N2DCS.20MAA12AA013_ZB21AP,11718,高压调门油动机关闭电磁阀#1监视,,digital
N2DCS.20MAA12AA013_ZB21B,11719,高压调门油动机关闭电磁阀#1,,digital
N2DCS.20MAA12AA014_XB01,11720,@ Ovation Control Builder @,,digital
N2DCS.20MAA12AA014_XB02,11721,@ Ovation Control Builder @,,digital
N2DCS.20MAA12AA014_ZB21A,11722,高压调门油动机关闭电磁阀#2,,digital
N2DCS.20MAA12AA014_ZB21AP,11723,高压调门油动机关闭电磁阀#2监视,,digital
N2DCS.20MAA12AA014_ZB21B,11724,高压调门油动机关闭电磁阀#2,,digital
N2DCS.20MAA21AA013_ZB21,11725,主汽门油动机关闭电磁阀#1,,digital
N2DCS.20MAA21AA014_ZB21,11726,主汽门油动机关闭电磁阀#2,,digital
N2DCS.20MAA22AA013_ZB21,11727,高压调门油动机关闭电磁阀#1,,digital
N2DCS.20MAA22AA014_ZB21,11728,高压调门油动机关闭电磁阀#2,,digital
N2DCS.20MAA22SGFD1,11729,快关高调阀,,digital
N2DCS.20MAA50CT151A_XM20,11730,@ Ovation Control Builder @,,digital
N2DCS.20MAA50CT152A_XM20,11731,@ Ovation Control Builder @,,digital
N2DCS.20MAA50CT621A_XH01,11732,#1高压排汽蒸汽温度>412℃,,digital
